time: 0.0282  current fps: 35.461  average fps:  35.458
time: 0.0276  current fps: 36.232  average fps:  35.460
time: 0.0276  current fps: 36.232  average fps:  35.463
time: 0.0282  current fps: 35.461  average fps:  35.463
time: 0.0276  current fps: 36.232  average fps:  35.466
time: 0.0276  current fps: 36.232  average fps:  35.468
time: 0.0270  current fps: 37.037  average fps:  35.473
time: 0.0282  current fps: 35.461  average fps:  35.473
time: 0.0288  current fps: 34.722  average fps:  35.471
time: 0.0288  current fps: 34.722  average fps:  35.468
time: 0.0270  current fps: 37.037  average fps:  35.473
time: 0.0270  current fps: 37.037  average fps:  35.478
time: 0.0294  current fps: 34.014  average fps:  35.474
time: 0.0276  current fps: 36.232  average fps:  35.476
time: 0.0282  current fps: 35.461  average fps:  35.476
time: 0.0276  current fps: 36.232  average fps:  35.478
time: 0.0282  current fps: 35.461  average fps:  35.478
time: 0.0282  current fps: 35.461  average fps:  35.478
time: 0.0288  current fps: 34.722  average fps:  35.476
time: 0.0294  current fps: 34.014  average fps:  35.471
time: 0.0270  current fps: 37.037  average fps:  35.476
time: 0.0270  current fps: 37.037  average fps:  35.481
time: 0.0294  current fps: 34.014  average fps:  35.476
time: 0.0276  current fps: 36.232  average fps:  35.479
time: 0.0270  current fps: 37.037  average fps:  35.484
time: 0.0276  current fps: 36.232  average fps:  35.486
time: 0.0294  current fps: 34.014  average fps:  35.481
time: 0.0276  current fps: 36.232  average fps:  35.484
time: 0.0288  current fps: 34.722  average fps:  35.481
time: 0.0282  current fps: 35.461  average fps:  35.481
time: 0.0282  current fps: 35.461  average fps:  35.481
time: 0.0288  current fps: 34.722  average fps:  35.479
time: 0.0282  current fps: 35.461  average fps:  35.479
time: 0.0276  current fps: 36.232  average fps:  35.481
time: 0.0276  current fps: 36.232  average fps:  35.483
time: 0.0270  current fps: 37.037  average fps:  35.488
time: 0.0276  current fps: 36.232  average fps:  35.490
time: 0.0276  current fps: 36.232  average fps:  35.492
time: 0.0276  current fps: 36.232  average fps:  35.495
time: 0.0270  current fps: 37.037  average fps:  35.499
time: 0.0282  current fps: 35.461  average fps:  35.499
time: 0.0276  current fps: 36.232  average fps:  35.501
time: 0.0282  current fps: 35.461  average fps:  35.501
time: 0.0282  current fps: 35.461  average fps:  35.501
time: 0.0288  current fps: 34.722  average fps:  35.499
time: 0.0276  current fps: 36.232  average fps:  35.501
time: 0.0276  current fps: 36.232  average fps:  35.503
time: 0.0276  current fps: 36.232  average fps:  35.505
time: 0.0282  current fps: 35.461  average fps:  35.505
time: 0.0282  current fps: 35.461  average fps:  35.505
time: 0.0282  current fps: 35.461  average fps:  35.505
time: 0.0276  current fps: 36.232  average fps:  35.507
time: 0.0288  current fps: 34.722  average fps:  35.504
time: 0.0276  current fps: 36.232  average fps:  35.506
time: 0.0288  current fps: 34.722  average fps:  35.504
time: 0.0282  current fps: 35.461  average fps:  35.504
time: 0.0306  current fps: 32.680  average fps:  35.496
time: 0.0288  current fps: 34.722  average fps:  35.494
time: 0.0288  current fps: 34.722  average fps:  35.492
time: 0.0282  current fps: 35.461  average fps:  35.492
time: 0.0276  current fps: 36.232  average fps:  35.494
time: 0.0276  current fps: 36.232  average fps:  35.496
time: 0.0276  current fps: 36.232  average fps:  35.498
time: 0.0270  current fps: 37.037  average fps:  35.502
time: 0.0270  current fps: 37.037  average fps:  35.506
time: 0.0276  current fps: 36.232  average fps:  35.508
time: 0.0276  current fps: 36.232  average fps:  35.510
time: 0.0288  current fps: 34.722  average fps:  35.508
time: 0.0276  current fps: 36.232  average fps:  35.510
time: 0.0282  current fps: 35.461  average fps:  35.510
time: 0.0282  current fps: 35.461  average fps:  35.510
time: 0.0276  current fps: 36.232  average fps:  35.512
time: 0.0276  current fps: 36.232  average fps:  35.514
time: 0.0282  current fps: 35.461  average fps:  35.514
time: 0.0270  current fps: 37.037  average fps:  35.518
time: 0.0294  current fps: 34.014  average fps:  35.514
time: 0.0270  current fps: 37.037  average fps:  35.518
time: 0.0294  current fps: 34.014  average fps:  35.514
time: 0.0300  current fps: 33.333  average fps:  35.508
time: 0.0294  current fps: 34.014  average fps:  35.504
time: 0.0288  current fps: 34.722  average fps:  35.502
time: 0.0282  current fps: 35.461  average fps:  35.502
time: 0.0276  current fps: 36.232  average fps:  35.504
time: 0.0270  current fps: 37.037  average fps:  35.508
time: 0.0294  current fps: 34.014  average fps:  35.504
time: 0.0270  current fps: 37.037  average fps:  35.508
time: 0.0276  current fps: 36.232  average fps:  35.510
time: 0.0276  current fps: 36.232  average fps:  35.512
time: 0.0282  current fps: 35.461  average fps:  35.511
time: 0.0276  current fps: 36.232  average fps:  35.513
time: 0.0276  current fps: 36.232  average fps:  35.515
time: 0.0270  current fps: 37.037  average fps:  35.519
time: 0.0270  current fps: 37.037  average fps:  35.523
time: 0.0270  current fps: 37.037  average fps:  35.527
time: 0.0264  current fps: 37.879  average fps:  35.533
time: 0.0282  current fps: 35.461  average fps:  35.532
time: 0.0282  current fps: 35.461  average fps:  35.532
time: 0.0270  current fps: 37.037  average fps:  35.536
time: 0.0276  current fps: 36.232  average fps:  35.538
time: 0.0288  current fps: 34.722  average fps:  35.536
time: 0.0276  current fps: 36.232  average fps:  35.537
time: 0.0276  current fps: 36.232  average fps:  35.539
time: 0.0282  current fps: 35.461  average fps:  35.539
time: 0.0270  current fps: 37.037  average fps:  35.543
time: 0.0282  current fps: 35.461  average fps:  35.543
time: 0.0282  current fps: 35.461  average fps:  35.542
time: 0.0282  current fps: 35.461  average fps:  35.542
time: 0.0264  current fps: 37.879  average fps:  35.548
time: 0.0276  current fps: 36.232  average fps:  35.549
time: 0.0270  current fps: 37.037  average fps:  35.553
time: 0.0276  current fps: 36.232  average fps:  35.555
time: 0.0288  current fps: 34.722  average fps:  35.553
time: 0.0276  current fps: 36.232  average fps:  35.554
time: 0.0282  current fps: 35.461  average fps:  35.554
time: 0.0270  current fps: 37.037  average fps:  35.558
time: 0.0282  current fps: 35.461  average fps:  35.557
time: 0.0276  current fps: 36.232  average fps:  35.559
time: 0.0282  current fps: 35.461  average fps:  35.559
time: 0.0288  current fps: 34.722  average fps:  35.557
time: 0.0270  current fps: 37.037  average fps:  35.560
time: 0.0270  current fps: 37.037  average fps:  35.564
time: 0.0276  current fps: 36.232  average fps:  35.565
time: 0.0276  current fps: 36.232  average fps:  35.567
time: 0.0282  current fps: 35.461  average fps:  35.567
